Tipo_Ejecucion,Tamaño_Ventana,Tipo_Patron,Numero_encontrados,Distancia_media,Tiempo
Mejorado,10,head_and_shoulders,0,0,0.01
Mejorado,10,inv_head_and_shoulders,0,0,0.01
Mejorado,10,ascending_triangle,0,0,0.01
Mejorado,10,descending_triangle,0,0,0.01
Mejorado,20,head_and_shoulders,0,0,0.02
Mejorado,20,inv_head_and_shoulders,0,0,0.02
Mejorado,20,ascending_triangle,0,0,0.02
Mejorado,20,descending_triangle,4,8.13,0.02
Mejorado,40,head_and_shoulders,0,0,0.04
Mejorado,40,inv_head_and_shoulders,0,0,0.04
Mejorado,40,ascending_triangle,0,0,0.04
Mejorado,40,descending_triangle,6,7.21,0.04
Mejorado,80,head_and_shoulders,2,10.95,0.08
Mejorado,80,inv_head_and_shoulders,1,8.43,0.08
Mejorado,80,ascending_triangle,3,12.33,0.08
Mejorado,80,descending_triangle,5,8.28,0.08
Mejorado,100,head_and_shoulders,2,10.81,0.09
Mejorado,100,inv_head_and_shoulders,1,8.44,0.09
Mejorado,100,ascending_triangle,6,12.41,0.09
Mejorado,100,descending_triangle,4,7.1,0.09
Mejorado,120,head_and_shoulders,2,10.94,0.1
Mejorado,120,inv_head_and_shoulders,1,8.79,0.1
Mejorado,120,ascending_triangle,5,13.08,0.1
Mejorado,120,descending_triangle,3,9.31,0.1
Mejorado,140,head_and_shoulders,2,10.34,0.12
Mejorado,140,inv_head_and_shoulders,1,8.22,0.12
Mejorado,140,ascending_triangle,6,12.85,0.12
Mejorado,140,descending_triangle,4,8.3,0.12
Mejorado,160,head_and_shoulders,3,10.47,0.13
Mejorado,160,inv_head_and_shoulders,1,8.32,0.13
Mejorado,160,ascending_triangle,6,13.43,0.13
Mejorado,160,descending_triangle,3,8.44,0.13
Mejorado,180,head_and_shoulders,3,10.21,0.14
Mejorado,180,inv_head_and_shoulders,1,8.32,0.14
Mejorado,180,ascending_triangle,8,13.48,0.14
Mejorado,180,descending_triangle,2,7.8,0.14
Mejorado,200,head_and_shoulders,4,10.89,0.15
Mejorado,200,inv_head_and_shoulders,1,8.32,0.15
Mejorado,200,ascending_triangle,7,13.08,0.15
Mejorado,200,descending_triangle,2,7.8,0.15
Mejorado,220,head_and_shoulders,4,11.08,0.16
Mejorado,220,inv_head_and_shoulders,2,10.97,0.16
Mejorado,220,ascending_triangle,6,13.91,0.16
Mejorado,220,descending_triangle,2,7.63,0.16
Mejorado,230,head_and_shoulders,3,10.98,0.17
Mejorado,230,inv_head_and_shoulders,2,11.0,0.17
Mejorado,230,ascending_triangle,6,13.78,0.17
Mejorado,230,descending_triangle,3,8.36,0.17
Mejorado,240,head_and_shoulders,3,10.95,0.17
Mejorado,240,inv_head_and_shoulders,3,11.94,0.17
Mejorado,240,ascending_triangle,4,14.6,0.17
Mejorado,240,descending_triangle,2,7.01,0.17
Mejorado,250,head_and_shoulders,3,11.01,0.18
Mejorado,250,inv_head_and_shoulders,2,10.92,0.18
Mejorado,250,ascending_triangle,5,13.55,0.18
Mejorado,250,descending_triangle,2,7.74,0.18
Mejorado,260,head_and_shoulders,3,11.02,0.19
Mejorado,260,inv_head_and_shoulders,2,10.05,0.19
Mejorado,260,ascending_triangle,8,14.09,0.19
Mejorado,260,descending_triangle,2,7.72,0.19
Mejorado,280,head_and_shoulders,3,11.0,0.2
Mejorado,280,inv_head_and_shoulders,2,11.19,0.2
Mejorado,280,ascending_triangle,5,13.97,0.2
Mejorado,280,descending_triangle,2,7.8,0.2
Mejorado,300,head_and_shoulders,3,11.0,0.21
Mejorado,300,inv_head_and_shoulders,2,10.8,0.21
Mejorado,300,ascending_triangle,6,14.0,0.21
Mejorado,300,descending_triangle,2,7.5,0.21
Mejorado,320,head_and_shoulders,3,11.19,0.22
Mejorado,320,inv_head_and_shoulders,2,10.05,0.22
Mejorado,320,ascending_triangle,5,14.11,0.22
Mejorado,320,descending_triangle,2,8.93,0.22
Mejorado,340,head_and_shoulders,3,10.95,0.23
Mejorado,340,inv_head_and_shoulders,3,11.74,0.23
Mejorado,340,ascending_triangle,5,14.96,0.23
Mejorado,340,descending_triangle,0,0,0.23
Mejorado,360,head_and_shoulders,3,11.01,0.24
Mejorado,360,inv_head_and_shoulders,1,13.65,0.24
Mejorado,360,ascending_triangle,6,14.61,0.24
Mejorado,360,descending_triangle,0,0,0.24
Mejorado,380,head_and_shoulders,3,10.94,0.25
Mejorado,380,inv_head_and_shoulders,2,13.28,0.25
Mejorado,380,ascending_triangle,5,14.89,0.25
Mejorado,380,descending_triangle,0,0,0.25
Mejorado,400,head_and_shoulders,3,11.22,0.26
Mejorado,400,inv_head_and_shoulders,1,13.86,0.26
Mejorado,400,ascending_triangle,6,14.48,0.26
Mejorado,400,descending_triangle,0,0,0.26
Mejorado,450,head_and_shoulders,1,12.52,0.27
Mejorado,450,inv_head_and_shoulders,1,13.65,0.27
Mejorado,450,ascending_triangle,2,14.47,0.27
Mejorado,450,descending_triangle,0,0,0.27
Mejorado,500,head_and_shoulders,1,12.78,0.3
Mejorado,500,inv_head_and_shoulders,1,13.68,0.3
Mejorado,500,ascending_triangle,4,15.06,0.3
Mejorado,500,descending_triangle,0,0,0.3
