Tipo_Ejecucion,Tamaño_Ventana,Tipo_Patron,Numero_encontrados,Distancia_media,Tiempo
Original,10,head_and_shoulders,0,0,0.01
Mejorado,10,head_and_shoulders,0,0,0.01
Original,10,inv_head_and_shoulders,0,0,0.01
Mejorado,10,inv_head_and_shoulders,0,0,0.01
Original,10,ascending_triangle,0,0,0.01
Mejorado,10,ascending_triangle,0,0,0.01
Original,10,descending_triangle,0,0,0.01
Mejorado,10,descending_triangle,0,0,0.01
Original,20,head_and_shoulders,0,0,0.02
Mejorado,20,head_and_shoulders,0,0,0.02
Original,20,inv_head_and_shoulders,0,0,0.02
Mejorado,20,inv_head_and_shoulders,0,0,0.02
Original,20,ascending_triangle,0,0,0.02
Mejorado,20,ascending_triangle,0,0,0.02
Original,20,descending_triangle,2,8.22,0.02
Mejorado,20,descending_triangle,1,8.65,0.02
Original,40,head_and_shoulders,0,0,0.02
Mejorado,40,head_and_shoulders,0,0,0.04
Original,40,inv_head_and_shoulders,0,0,0.02
Mejorado,40,inv_head_and_shoulders,0,0,0.04
Original,40,ascending_triangle,0,0,0.02
Mejorado,40,ascending_triangle,0,0,0.04
Original,40,descending_triangle,2,7.38,0.02
Mejorado,40,descending_triangle,4,6.99,0.04
Original,80,head_and_shoulders,0,0,0.03
Mejorado,80,head_and_shoulders,0,0,0.08
Original,80,inv_head_and_shoulders,0,0,0.03
Mejorado,80,inv_head_and_shoulders,0,0,0.08
Original,80,ascending_triangle,0,0,0.03
Mejorado,80,ascending_triangle,0,0,0.08
Original,80,descending_triangle,0,0,0.03
Mejorado,80,descending_triangle,2,6.35,0.08
Original,100,head_and_shoulders,0,0,0.04
Mejorado,100,head_and_shoulders,0,0,0.09
Original,100,inv_head_and_shoulders,0,0,0.04
Mejorado,100,inv_head_and_shoulders,0,0,0.09
Original,100,ascending_triangle,2,11.81,0.04
Mejorado,100,ascending_triangle,2,11.07,0.09
Original,100,descending_triangle,0,0,0.04
Mejorado,100,descending_triangle,2,6.23,0.09
Original,120,head_and_shoulders,0,0,0.04
Mejorado,120,head_and_shoulders,0,0,0.1
Original,120,inv_head_and_shoulders,0,0,0.04
Mejorado,120,inv_head_and_shoulders,0,0,0.1
Original,120,ascending_triangle,1,13.2,0.04
Mejorado,120,ascending_triangle,2,12.99,0.1
Original,120,descending_triangle,0,0,0.04
Mejorado,120,descending_triangle,0,0,0.1
Original,140,head_and_shoulders,0,0,0.05
Mejorado,140,head_and_shoulders,0,0,0.11
Original,140,inv_head_and_shoulders,0,0,0.05
Mejorado,140,inv_head_and_shoulders,0,0,0.11
Original,140,ascending_triangle,0,0,0.05
Mejorado,140,ascending_triangle,2,11.61,0.11
Original,140,descending_triangle,0,0,0.05
Mejorado,140,descending_triangle,1,7.77,0.11
Original,160,head_and_shoulders,0,0,0.05
Mejorado,160,head_and_shoulders,0,0,0.12
Original,160,inv_head_and_shoulders,0,0,0.05
Mejorado,160,inv_head_and_shoulders,0,0,0.12
Original,160,ascending_triangle,0,0,0.05
Mejorado,160,ascending_triangle,1,12.16,0.12
Original,160,descending_triangle,0,0,0.05
Mejorado,160,descending_triangle,0,0,0.12
Original,180,head_and_shoulders,0,0,0.05
Mejorado,180,head_and_shoulders,0,0,0.13
Original,180,inv_head_and_shoulders,0,0,0.05
Mejorado,180,inv_head_and_shoulders,0,0,0.13
Original,180,ascending_triangle,1,12.22,0.05
Mejorado,180,ascending_triangle,3,13.22,0.13
Original,180,descending_triangle,0,0,0.05
Mejorado,180,descending_triangle,0,0,0.13
Original,200,head_and_shoulders,0,0,0.06
Mejorado,200,head_and_shoulders,0,0,0.14
Original,200,inv_head_and_shoulders,0,0,0.06
Mejorado,200,inv_head_and_shoulders,0,0,0.14
Original,200,ascending_triangle,1,12.17,0.06
Mejorado,200,ascending_triangle,2,12.17,0.14
Original,200,descending_triangle,0,0,0.06
Mejorado,200,descending_triangle,0,0,0.14
Original,220,head_and_shoulders,0,0,0.06
Mejorado,220,head_and_shoulders,0,0,0.15
Original,220,inv_head_and_shoulders,0,0,0.06
Mejorado,220,inv_head_and_shoulders,0,0,0.15
Original,220,ascending_triangle,1,13.04,0.06
Mejorado,220,ascending_triangle,2,12.07,0.15
Original,220,descending_triangle,0,0,0.06
Mejorado,220,descending_triangle,0,0,0.15
Original,230,head_and_shoulders,1,11.89,0.07
Mejorado,230,head_and_shoulders,1,11.89,0.16
Original,230,inv_head_and_shoulders,0,0,0.07
Mejorado,230,inv_head_and_shoulders,0,0,0.16
Original,230,ascending_triangle,1,13.16,0.07
Mejorado,230,ascending_triangle,2,12.14,0.16
Original,230,descending_triangle,0,0,0.07
Mejorado,230,descending_triangle,0,0,0.16
Original,240,head_and_shoulders,1,13.21,0.07
Mejorado,240,head_and_shoulders,1,12.33,0.16
Original,240,inv_head_and_shoulders,0,0,0.07
Mejorado,240,inv_head_and_shoulders,0,0,0.16
Original,240,ascending_triangle,1,13.27,0.07
Mejorado,240,ascending_triangle,1,11.86,0.16
Original,240,descending_triangle,0,0,0.07
Mejorado,240,descending_triangle,0,0,0.16
Original,250,head_and_shoulders,1,14.37,0.07
Mejorado,250,head_and_shoulders,1,11.79,0.17
Original,250,inv_head_and_shoulders,0,0,0.07
Mejorado,250,inv_head_and_shoulders,0,0,0.17
Original,250,ascending_triangle,1,13.78,0.07
Mejorado,250,ascending_triangle,2,13.61,0.17
Original,250,descending_triangle,0,0,0.07
Mejorado,250,descending_triangle,0,0,0.17
Original,260,head_and_shoulders,0,0,0.07
Mejorado,260,head_and_shoulders,0,0,0.18
Original,260,inv_head_and_shoulders,0,0,0.07
Mejorado,260,inv_head_and_shoulders,0,0,0.18
Original,260,ascending_triangle,1,14.1,0.07
Mejorado,260,ascending_triangle,3,13.16,0.18
Original,260,descending_triangle,0,0,0.07
Mejorado,260,descending_triangle,0,0,0.18
Original,280,head_and_shoulders,0,0,0.08
Mejorado,280,head_and_shoulders,0,0,0.19
Original,280,inv_head_and_shoulders,0,0,0.08
Mejorado,280,inv_head_and_shoulders,0,0,0.19
Original,280,ascending_triangle,1,13.45,0.08
Mejorado,280,ascending_triangle,2,12.76,0.19
Original,280,descending_triangle,0,0,0.08
Mejorado,280,descending_triangle,0,0,0.19
Original,300,head_and_shoulders,0,0,0.12
Mejorado,300,head_and_shoulders,1,12.12,0.2
Original,300,inv_head_and_shoulders,0,0,0.12
Mejorado,300,inv_head_and_shoulders,0,0,0.2
Original,300,ascending_triangle,2,14.44,0.12
Mejorado,300,ascending_triangle,3,13.6,0.2
Original,300,descending_triangle,0,0,0.12
Mejorado,300,descending_triangle,0,0,0.2
Original,320,head_and_shoulders,0,0,0.09
Mejorado,320,head_and_shoulders,1,11.79,0.21
Original,320,inv_head_and_shoulders,0,0,0.09
Mejorado,320,inv_head_and_shoulders,0,0,0.21
Original,320,ascending_triangle,1,15.42,0.09
Mejorado,320,ascending_triangle,2,13.36,0.21
Original,320,descending_triangle,0,0,0.09
Mejorado,320,descending_triangle,0,0,0.21
Original,340,head_and_shoulders,0,0,0.09
Mejorado,340,head_and_shoulders,1,12.33,0.22
Original,340,inv_head_and_shoulders,0,0,0.09
Mejorado,340,inv_head_and_shoulders,0,0,0.22
Original,340,ascending_triangle,2,15.87,0.09
Mejorado,340,ascending_triangle,3,13.85,0.22
Original,340,descending_triangle,0,0,0.09
Mejorado,340,descending_triangle,0,0,0.22
Original,360,head_and_shoulders,0,0,0.1
Mejorado,360,head_and_shoulders,1,11.87,0.23
Original,360,inv_head_and_shoulders,0,0,0.1
Mejorado,360,inv_head_and_shoulders,0,0,0.23
Original,360,ascending_triangle,2,14.83,0.1
Mejorado,360,ascending_triangle,3,13.95,0.23
Original,360,descending_triangle,0,0,0.1
Mejorado,360,descending_triangle,0,0,0.23
Original,380,head_and_shoulders,0,0,0.1
Mejorado,380,head_and_shoulders,0,0,0.24
Original,380,inv_head_and_shoulders,0,0,0.1
Mejorado,380,inv_head_and_shoulders,0,0,0.24
Original,380,ascending_triangle,2,15.78,0.1
Mejorado,380,ascending_triangle,3,13.97,0.24
Original,380,descending_triangle,0,0,0.1
Mejorado,380,descending_triangle,0,0,0.24
Original,400,head_and_shoulders,0,0,0.11
Mejorado,400,head_and_shoulders,0,0,0.25
Original,400,inv_head_and_shoulders,0,0,0.11
Mejorado,400,inv_head_and_shoulders,0,0,0.25
Original,400,ascending_triangle,2,17.12,0.11
Mejorado,400,ascending_triangle,3,13.88,0.25
Original,400,descending_triangle,0,0,0.11
Mejorado,400,descending_triangle,0,0,0.25
Original,450,head_and_shoulders,0,0,0.12
Mejorado,450,head_and_shoulders,0,0,0.28
Original,450,inv_head_and_shoulders,0,0,0.12
Mejorado,450,inv_head_and_shoulders,0,0,0.28
Original,450,ascending_triangle,2,22.88,0.12
Mejorado,450,ascending_triangle,3,14.11,0.28
Original,450,descending_triangle,0,0,0.12
Mejorado,450,descending_triangle,0,0,0.28
Original,500,head_and_shoulders,0,0,0.13
Mejorado,500,head_and_shoulders,1,13.95,0.31
Original,500,inv_head_and_shoulders,0,0,0.13
Mejorado,500,inv_head_and_shoulders,0,0,0.31
Original,500,ascending_triangle,1,29.94,0.13
Mejorado,500,ascending_triangle,3,13.96,0.31
Original,500,descending_triangle,0,0,0.13
Mejorado,500,descending_triangle,0,0,0.31
