Tipo_Ejecucion,Tamaño_Ventana,Tipo_Patron,Numero_encontrados,Distancia_media,Tiempo
Mejorado,10,head_and_shoulders,0,0,0.01
Mejorado,10,inv_head_and_shoulders,0,0,0.01
Mejorado,10,ascending_triangle,0,0,0.01
Mejorado,10,descending_triangle,0,0,0.01
Mejorado,20,head_and_shoulders,0,0,0.02
Mejorado,20,inv_head_and_shoulders,0,0,0.02
Mejorado,20,ascending_triangle,0,0,0.02
Mejorado,20,descending_triangle,0,0,0.02
Mejorado,40,head_and_shoulders,0,0,0.04
Mejorado,40,inv_head_and_shoulders,0,0,0.04
Mejorado,40,ascending_triangle,0,0,0.04
Mejorado,40,descending_triangle,3,7.39,0.04
Mejorado,80,head_and_shoulders,1,11.75,0.08
Mejorado,80,inv_head_and_shoulders,0,0,0.08
Mejorado,80,ascending_triangle,0,0,0.08
Mejorado,80,descending_triangle,1,7.06,0.08
Mejorado,100,head_and_shoulders,1,11.75,0.1
Mejorado,100,inv_head_and_shoulders,0,0,0.1
Mejorado,100,ascending_triangle,2,11.54,0.1
Mejorado,100,descending_triangle,2,7.05,0.1
Mejorado,120,head_and_shoulders,1,11.89,0.1
Mejorado,120,inv_head_and_shoulders,0,0,0.1
Mejorado,120,ascending_triangle,2,13.22,0.1
Mejorado,120,descending_triangle,0,0,0.1
Mejorado,140,head_and_shoulders,1,10.45,0.12
Mejorado,140,inv_head_and_shoulders,0,0,0.12
Mejorado,140,ascending_triangle,2,12.11,0.12
Mejorado,140,descending_triangle,1,9.27,0.12
Mejorado,160,head_and_shoulders,1,10.45,0.13
Mejorado,160,inv_head_and_shoulders,0,0,0.13
Mejorado,160,ascending_triangle,2,13.4,0.13
Mejorado,160,descending_triangle,0,0,0.13
Mejorado,180,head_and_shoulders,1,10.45,0.14
Mejorado,180,inv_head_and_shoulders,0,0,0.14
Mejorado,180,ascending_triangle,3,13.26,0.14
Mejorado,180,descending_triangle,0,0,0.14
Mejorado,200,head_and_shoulders,2,11.88,0.16
Mejorado,200,inv_head_and_shoulders,0,0,0.16
Mejorado,200,ascending_triangle,3,13.28,0.16
Mejorado,200,descending_triangle,0,0,0.16
Mejorado,220,head_and_shoulders,0,0,0.16
Mejorado,220,inv_head_and_shoulders,0,0,0.16
Mejorado,220,ascending_triangle,2,12.82,0.16
Mejorado,220,descending_triangle,0,0,0.16
Mejorado,230,head_and_shoulders,1,12.54,0.17
Mejorado,230,inv_head_and_shoulders,0,0,0.17
Mejorado,230,ascending_triangle,3,13.28,0.17
Mejorado,230,descending_triangle,0,0,0.17
Mejorado,240,head_and_shoulders,1,12.9,0.17
Mejorado,240,inv_head_and_shoulders,0,0,0.17
Mejorado,240,ascending_triangle,2,13.8,0.17
Mejorado,240,descending_triangle,0,0,0.17
Mejorado,250,head_and_shoulders,1,12.84,0.17
Mejorado,250,inv_head_and_shoulders,0,0,0.17
Mejorado,250,ascending_triangle,2,13.61,0.17
Mejorado,250,descending_triangle,0,0,0.17
Mejorado,260,head_and_shoulders,0,0,0.18
Mejorado,260,inv_head_and_shoulders,0,0,0.18
Mejorado,260,ascending_triangle,3,13.36,0.18
Mejorado,260,descending_triangle,0,0,0.18
Mejorado,280,head_and_shoulders,1,13.11,0.19
Mejorado,280,inv_head_and_shoulders,0,0,0.19
Mejorado,280,ascending_triangle,3,13.94,0.19
Mejorado,280,descending_triangle,0,0,0.19
Mejorado,300,head_and_shoulders,1,12.81,0.2
Mejorado,300,inv_head_and_shoulders,0,0,0.2
Mejorado,300,ascending_triangle,3,14.57,0.2
Mejorado,300,descending_triangle,0,0,0.2
Mejorado,320,head_and_shoulders,1,12.84,0.21
Mejorado,320,inv_head_and_shoulders,0,0,0.21
Mejorado,320,ascending_triangle,2,13.89,0.21
Mejorado,320,descending_triangle,0,0,0.21
Mejorado,340,head_and_shoulders,1,12.9,0.22
Mejorado,340,inv_head_and_shoulders,0,0,0.22
Mejorado,340,ascending_triangle,3,15.1,0.22
Mejorado,340,descending_triangle,0,0,0.22
Mejorado,360,head_and_shoulders,1,12.94,0.24
Mejorado,360,inv_head_and_shoulders,0,0,0.24
Mejorado,360,ascending_triangle,3,14.92,0.24
Mejorado,360,descending_triangle,0,0,0.24
Mejorado,380,head_and_shoulders,1,12.62,0.24
Mejorado,380,inv_head_and_shoulders,0,0,0.24
Mejorado,380,ascending_triangle,3,15.44,0.24
Mejorado,380,descending_triangle,0,0,0.24
Mejorado,400,head_and_shoulders,1,13.1,0.26
Mejorado,400,inv_head_and_shoulders,0,0,0.26
Mejorado,400,ascending_triangle,4,16.07,0.26
Mejorado,400,descending_triangle,0,0,0.26
Mejorado,450,head_and_shoulders,1,12.86,0.29
Mejorado,450,inv_head_and_shoulders,0,0,0.29
Mejorado,450,ascending_triangle,3,14.65,0.29
Mejorado,450,descending_triangle,0,0,0.29
Mejorado,500,head_and_shoulders,1,15.68,0.31
Mejorado,500,inv_head_and_shoulders,0,0,0.31
Mejorado,500,ascending_triangle,3,15.33,0.31
Mejorado,500,descending_triangle,0,0,0.31
