indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
60,15,ah 1 años,250,20,"[1, 2]",818,818,20,100.0,2.4,105.07
63,15,ah 1 años,250,80,"[1, 2]",200,192,19,96.0,9.9,29.28
64,15,ah 1 años,250,80,"[1, 2, 3]",199,192,19,96.5,9.9,30.32
68,15,ah 1 años,250,100,"[1, 2, 3, 4]",160,149,19,93.1,12.8,25.53
61,15,ah 1 años,250,40,"[1, 2]",410,410,18,100.0,4.4,53.12
70,15,ah 1 años,250,120,"[1, 2, 3, 4]",142,124,18,87.3,14.5,23.45
62,15,ah 1 años,250,40,"[1, 2, 3]",446,446,17,100.0,3.8,65.09
66,15,ah 1 años,250,90,"[1, 2, 3]",181,170,17,93.9,10.0,26.5
67,15,ah 1 años,250,100,"[1, 2, 3]",153,143,17,93.5,11.9,22.71
72,15,ah 1 años,250,140,"[1, 2, 3, 4]",117,99,15,84.6,15.2,19.9
69,15,ah 1 años,250,120,"[1, 2, 3]",143,125,14,87.4,11.2,21.68
65,15,ah 1 años,250,90,"[1, 2]",159,149,13,93.7,8.7,22.33
74,15,ah 1 años,250,160,"[1, 2, 3, 4]",106,83,13,78.3,15.7,18.44
71,15,ah 1 años,250,140,"[1, 2, 3]",117,100,12,85.5,12.0,18.56
78,15,ah 1 años,250,200,"[1, 2, 3, 4]",70,53,11,75.7,20.8,12.7
77,15,ah 1 años,250,200,"[1, 2, 3]",70,53,8,75.7,15.1,12.02
79,15,ah 1 años,250,220,"[1, 2, 3]",68,52,8,76.5,15.4,11.09
81,15,ah 1 años,250,240,"[1, 2, 3]",60,51,8,85.0,15.7,10.42
75,15,ah 1 años,250,180,"[1, 2, 3]",92,73,7,79.3,9.6,15.24
76,15,ah 1 años,250,180,"[1, 2, 3, 4]",87,68,7,78.2,10.3,15.49
73,15,ah 1 años,250,160,"[1, 2, 3]",98,75,6,76.5,8.0,15.75
82,15,ah 1 años,250,240,"[1, 2, 3, 4]",60,51,6,85.0,11.8,11.67
80,15,ah 1 años,250,220,"[1, 2, 3, 4]",68,52,4,76.5,7.7,11.99
89,15,ai 1 años y 5 meses,354,90,"[1, 2, 3]",292,275,26,94.2,9.5,42.23
90,15,ai 1 años y 5 meses,354,100,"[1, 2, 3]",252,238,25,94.4,10.5,37.23
91,15,ai 1 años y 5 meses,354,100,"[1, 2, 3, 4]",273,257,24,94.1,9.3,43.49
87,15,ai 1 años y 5 meses,354,80,"[1, 2, 3]",326,313,22,96.0,7.0,48.35
86,15,ai 1 años y 5 meses,354,80,"[1, 2]",279,273,21,97.8,7.7,40.16
84,15,ai 1 años y 5 meses,354,40,"[1, 2]",590,589,20,99.8,3.4,78.65
93,15,ai 1 años y 5 meses,354,120,"[1, 2, 3, 4]",233,199,20,85.4,10.1,38.25
83,15,ai 1 años y 5 meses,354,20,"[1, 2]",1211,1211,16,100.0,1.3,156.53
95,15,ai 1 años y 5 meses,354,140,"[1, 2, 3, 4]",196,164,16,83.7,9.8,32.96
96,15,ai 1 años y 5 meses,354,160,"[1, 2, 3]",159,126,15,79.2,11.9,25.96
85,15,ai 1 años y 5 meses,354,40,"[1, 2, 3]",652,652,14,100.0,2.1,93.77
