num_patrones_cargados,rango_fecha,media_numero_encontrados_total,media_tiempo
10,1 años (365),19.67,38.19
10,1 años y 5 meses (515),22.0,50.36
10,1 meses y 4 días (34),1.67,13.25
10,10 años y 2 días (3652),120.67,493.58
10,15 años y 3 días (5478),103.33,656.19
10,17 días (17),0.5,13.67
10,2 años (730),34.67,102.07
10,2 meses (60),3.0,33.38
10,3 años (1095),59.0,167.58
10,5 meses y 8 días (158),8.0,15.83
10,6 años y 1 días (2191),106.67,333.17
10,7 meses y 11 días (221),10.33,43.78
10,8 años y 2 días (2922),125.67,379.75
10,9 días (9),0.0,11.13
10,9 meses y 2 días (272),15.33,40.27
15,1 años (365),19.33,54.89
15,1 años y 5 meses (515),25.0,40.98
15,1 meses y 4 días (34),1.67,11.11
15,10 años y 2 días (3652),135.33,386.08
15,15 años y 3 días (5478),120.33,604.05
15,17 días (17),0.5,12.97
15,2 años (730),37.67,63.76
15,2 meses (60),3.33,22.4
15,3 años (1095),60.33,136.0
15,5 meses y 8 días (158),8.33,14.08
15,6 años y 1 días (2191),117.0,202.77
15,7 meses y 11 días (221),11.0,36.3
15,8 años y 2 días (2922),128.0,303.51
15,9 días (9),0.0,11.83
15,9 meses y 2 días (272),16.0,29.29
20,1 años (365),17.0,62.19
20,1 años y 5 meses (515),22.0,63.62
20,1 meses y 4 días (34),2.0,12.98
20,10 años y 2 días (3652),118.67,413.03
20,15 años y 3 días (5478),115.67,731.23
20,17 días (17),0.5,12.42
20,2 años (730),34.67,93.77
20,2 meses (60),3.33,25.64
20,3 años (1095),50.67,158.55
20,5 meses y 8 días (158),7.67,21.92
20,6 años y 1 días (2191),106.0,247.36
20,7 meses y 11 días (221),10.0,34.54
20,8 años y 2 días (2922),117.67,348.94
20,9 días (9),0.0,9.64
20,9 meses y 2 días (272),15.33,23.37
25,1 años (365),18.67,72.56
25,1 años y 5 meses (515),24.67,54.89
25,1 meses y 4 días (34),2.0,13.42
25,10 años y 2 días (3652),126.0,427.83
25,15 años y 3 días (5478),114.0,671.58
25,17 días (17),0.5,12.62
25,2 años (730),36.0,105.86
25,2 meses (60),3.0,28.16
25,3 años (1095),51.0,139.73
25,5 meses y 8 días (158),8.0,12.47
25,6 años y 1 días (2191),103.0,301.45
25,7 meses y 11 días (221),10.67,27.74
25,8 años y 2 días (2922),123.67,327.93
25,9 días (9),0.0,11.38
25,9 meses y 2 días (272),15.67,33.24
