Tipo_Ejecucion,Rango_Fecha,Tipo_Patron,numero_ventanas_exploradas,aceptados_findCommon,Numero_Encontrados,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,distancia_promedio,distancia_promedio_findCommon,tamaño_medio,Tiempo_Ejecucion
Original_120,1 años,double_top,143,25,5,17.5,20.0,14.72,14.95,32.0,0.74
Original_120,1 años,double_bottom,143,22,2,15.4,9.1,12.03,16.54,35.0,0.74
Original_120,1 años,head_and_shoulders,143,22,0,15.4,0.0,0.0,19.92,0.0,0.74
Original_120,1 años,inv_head_and_shoulders,143,26,1,18.2,3.8,12.1,18.0,40.0,0.74
Original_120,1 años,ascending_triangle,143,20,2,14.0,10.0,12.64,19.45,30.0,0.74
Original_120,1 años,descending_triangle,143,20,5,14.0,25.0,18.39,19.2,44.0,0.74
Original_120,1 años,general,143,135,15,94.4,11.1,15.13,18.01,36.67,0.74
Original_200,1 años,double_top,66,10,4,15.2,40.0,23.1,21.83,50.0,0.42
Original_200,1 años,double_bottom,66,10,1,15.2,10.0,31.11,24.36,50.0,0.42
Original_200,1 años,head_and_shoulders,66,9,0,13.6,0.0,0.0,20.23,0.0,0.42
Original_200,1 años,inv_head_and_shoulders,66,10,1,15.2,10.0,25.02,28.21,50.0,0.42
Original_200,1 años,ascending_triangle,66,9,0,13.6,0.0,0.0,27.28,0.0,0.42
Original_200,1 años,descending_triangle,66,8,0,12.1,0.0,0.0,20.82,0.0,0.42
Original_200,1 años,general,66,56,6,84.8,10.7,24.75,23.79,50.0,0.42
Auto,1 años,double_top,247,28,8,11.3,28.6,9.35,10.45,29.5,0.59
Auto,1 años,double_bottom,247,22,1,8.9,4.5,9.86,9.64,26.0,0.59
Auto,1 años,head_and_shoulders,247,25,0,10.1,0.0,0.0,17.74,0.0,0.59
Auto,1 años,inv_head_and_shoulders,247,32,2,13.0,6.2,8.97,15.22,80.0,0.59
Auto,1 años,ascending_triangle,247,28,4,11.3,14.3,15.77,14.77,29.5,0.59
Auto,1 años,descending_triangle,247,25,3,10.1,12.0,11.0,16.37,26.0,0.59
Auto,1 años,general,247,160,18,64.8,11.2,11.04,14.03,34.33,0.59
Original_120,2 años,double_top,324,51,8,15.7,15.7,15.1,15.08,31.25,1.67
Original_120,2 años,double_bottom,324,51,7,15.7,13.7,14.94,16.14,31.43,1.67
