indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
0,15,1 años (365),250,100,"[1, 2, 3]",156,146,13,93.6,8.9,7.83
1,15,1 años (365),250,100,"[1, 2, 3, 4]",162,150,13,92.6,8.7,8.18
2,15,1 años (365),250,100,"[1, 2, 3, 4, 5]",165,155,17,93.9,11.0,11.07
3,15,1 años (365),250,100,"[1, 2, 3, 4, 5, 6]",168,158,14,94.0,8.9,14.11
4,15,1 años (365),250,120,"[1, 2, 3]",141,127,17,90.1,13.4,5.88
5,15,1 años (365),250,120,"[1, 2, 3, 4]",136,122,16,89.7,13.1,7.38
6,15,1 años (365),250,120,"[1, 2, 3, 4, 5]",140,125,16,89.3,12.8,9.68
7,15,1 años (365),250,120,"[1, 2, 3, 4, 5, 6]",144,129,13,89.6,10.1,12.54
8,15,1 años (365),250,140,"[1, 2, 3]",120,105,13,87.5,12.4,5.43
9,15,1 años (365),250,140,"[1, 2, 3, 4]",115,99,12,86.1,12.1,6.68
10,15,1 años (365),250,140,"[1, 2, 3, 4, 5]",125,109,14,87.2,12.8,9.14
11,15,1 años (365),250,140,"[1, 2, 3, 4, 5, 6]",122,106,9,86.9,8.5,10.92
12,15,1 años (365),250,160,"[1, 2, 3]",103,82,9,79.6,11.0,4.69
13,15,1 años (365),250,160,"[1, 2, 3, 4]",104,83,9,79.8,10.8,5.98
14,15,1 años (365),250,160,"[1, 2, 3, 4, 5]",97,76,9,78.4,11.8,6.86
15,15,1 años (365),250,160,"[1, 2, 3, 4, 5, 6]",103,82,6,79.6,7.3,8.99
16,15,1 años (365),250,180,"[1, 2, 3]",91,72,8,79.1,11.1,4.36
17,15,1 años (365),250,180,"[1, 2, 3, 4]",83,64,5,77.1,7.8,5.07
18,15,1 años (365),250,180,"[1, 2, 3, 4, 5]",80,61,7,76.2,11.5,6.08
19,15,1 años (365),250,180,"[1, 2, 3, 4, 5, 6]",83,64,8,77.1,12.5,7.67
20,15,1 años (365),250,200,"[1, 2, 3]",69,52,8,75.4,15.4,3.53
21,15,1 años (365),250,200,"[1, 2, 3, 4]",69,52,9,75.4,17.3,4.39
22,15,1 años (365),250,200,"[1, 2, 3, 4, 5]",74,57,6,77.0,10.5,5.93
23,15,1 años (365),250,200,"[1, 2, 3, 4, 5, 6]",73,56,6,76.7,10.7,7.15
24,15,1 años (365),250,220,"[1, 2, 3]",68,52,9,76.5,17.3,3.74
25,15,1 años (365),250,220,"[1, 2, 3, 4]",68,52,6,76.5,11.5,4.64
26,15,1 años (365),250,220,"[1, 2, 3, 4, 5]",68,52,6,76.5,11.5,5.72
27,15,1 años (365),250,220,"[1, 2, 3, 4, 5, 6]",68,52,5,76.5,9.6,6.9
28,15,1 años (365),250,240,"[1, 2, 3]",60,49,6,81.7,12.2,3.71
29,15,1 años (365),250,240,"[1, 2, 3, 4]",60,49,6,81.7,12.2,4.62
30,15,1 años (365),250,240,"[1, 2, 3, 4, 5]",60,49,7,81.7,14.3,5.71
31,15,1 años (365),250,240,"[1, 2, 3, 4, 5, 6]",60,49,6,81.7,12.2,6.85
