indice,num_patrones_cargar,rango_fecha,numero_puntos,tamano_ventana,divisiones,numero_ventanas_exploradas,total_aceptados_findCommon,numero_encontrados_total,porcentaje_aceptacion_findCommon,porcentaje_aceptacion_tendency,tiempo
0,25,9 días (9),7,5,[1],60,59,0,98.3,0.0,11.38
1,25,17 días (17),12,5,[1],119,118,0,99.2,0.0,17.38
2,25,17 días (17),12,10,[1],60,60,1,100.0,1.7,7.87
3,25,1 meses y 4 días (34),22,5,[1],237,236,0,99.6,0.0,36.28
4,25,1 meses y 4 días (34),22,10,[1],120,120,2,100.0,1.7,14.95
5,25,1 meses y 4 días (34),22,10,"[1, 2]",122,122,2,100.0,1.6,15.79
6,25,1 meses y 4 días (34),22,20,[1],60,60,1,100.0,1.7,8.32
7,25,1 meses y 4 días (34),22,20,"[1, 2]",60,60,2,100.0,3.3,9.52
8,25,2 meses (60),42,5,[1],476,475,0,99.8,0.0,68.23
9,25,2 meses (60),42,10,[1],240,240,3,100.0,1.2,31.79
10,25,2 meses (60),42,10,"[1, 2]",253,253,3,100.0,1.2,35.38
11,25,2 meses (60),42,20,[1],120,120,3,100.0,2.5,17.32
12,25,2 meses (60),42,20,"[1, 2]",123,123,3,100.0,2.4,17.46
13,25,2 meses (60),42,40,[1],60,60,3,100.0,5.0,9.64
14,25,2 meses (60),42,40,"[1, 2]",60,60,3,100.0,5.0,10.6
15,25,5 meses y 8 días (158),109,5,[1],1248,1245,0,99.8,0.0,179.45
16,25,5 meses y 8 días (158),109,10,[1],600,600,0,100.0,0.0,80.95
17,25,5 meses y 8 días (158),109,10,"[1, 2]",687,687,0,100.0,0.0,98.49
18,25,5 meses y 8 días (158),109,20,[1],300,300,7,100.0,2.3,42.5
19,25,5 meses y 8 días (158),109,20,"[1, 2]",336,336,5,100.0,1.5,50.28
20,25,5 meses y 8 días (158),109,40,[1],120,120,8,100.0,6.7,17.2
21,25,5 meses y 8 días (158),109,40,"[1, 2]",150,150,7,100.0,4.7,22.72
22,25,5 meses y 8 días (158),109,40,"[1, 2, 3]",154,154,2,100.0,1.3,26.35
23,25,5 meses y 8 días (158),109,80,"[1, 2]",60,60,6,100.0,10.0,10.33
24,25,5 meses y 8 días (158),109,80,"[1, 2, 3]",60,60,8,100.0,13.3,10.73
25,25,5 meses y 8 días (158),109,90,"[1, 2]",60,59,8,98.3,13.6,9.48
26,25,5 meses y 8 días (158),109,90,"[1, 2, 3]",60,59,7,98.3,11.9,10.66
27,25,5 meses y 8 días (158),109,100,"[1, 2, 3]",60,58,6,96.7,10.3,11.15
28,25,7 meses y 11 días (221),152,10,[1],840,840,4,100.0,0.5,108.19
29,25,7 meses y 11 días (221),152,10,"[1, 2]",960,960,3,100.0,0.3,131.34
30,25,7 meses y 11 días (221),152,20,[1],420,420,9,100.0,2.1,60.73
31,25,7 meses y 11 días (221),152,20,"[1, 2]",465,465,9,100.0,1.9,73.73
32,25,7 meses y 11 días (221),152,40,[1],180,180,12,100.0,6.7,28.86
33,25,7 meses y 11 días (221),152,40,"[1, 2]",220,220,10,100.0,4.5,36.24
34,25,7 meses y 11 días (221),152,40,"[1, 2, 3]",238,238,6,100.0,2.5,43.13
35,25,7 meses y 11 días (221),152,80,"[1, 2]",80,80,7,100.0,8.8,15.03
36,25,7 meses y 11 días (221),152,80,"[1, 2, 3]",90,90,10,100.0,11.1,18.11
37,25,7 meses y 11 días (221),152,90,"[1, 2]",86,85,9,98.8,10.6,13.55
38,25,7 meses y 11 días (221),152,90,"[1, 2, 3]",78,77,9,98.7,11.7,14.73
39,25,7 meses y 11 días (221),152,100,"[1, 2, 3]",77,74,9,96.1,12.2,15.63
40,25,7 meses y 11 días (221),152,120,"[1, 2, 3]",62,59,7,95.2,11.9,13.55
