indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
0,double_top,0,0.0,7.56,10,0.0,0.0
0,double_bottom,0,0.0,5.05,10,0.0,0.0
0,head_and_shoulders,0,0.0,26.92,10,0.0,0.0
0,inv_head_and_shoulders,0,0.0,11.45,10,0.0,0.0
0,ascending_triangle,0,0.0,14.64,10,0.0,0.0
0,descending_triangle,0,0.0,17.25,10,0.0,0.0
1,double_top,0,0.0,8.02,20,0.0,0.0
1,double_bottom,0,0.0,5.06,20,0.0,0.0
1,head_and_shoulders,0,0.0,27.45,20,0.0,0.0
1,inv_head_and_shoulders,0,0.0,11.57,20,0.0,0.0
1,ascending_triangle,0,0.0,18.09,20,0.0,0.0
1,descending_triangle,0,0.0,16.32,20,0.0,0.0
2,double_top,0,0.0,6.08,10,0.0,0.0
2,double_bottom,0,0.0,4.34,10,0.0,0.0
2,head_and_shoulders,0,0.0,17.81,10,0.0,0.0
2,inv_head_and_shoulders,0,0.0,9.06,10,0.0,0.0
2,ascending_triangle,1,10.48,13.84,10,11.0,100.0
2,descending_triangle,0,0.0,14.02,10,0.0,0.0
3,double_top,0,0.0,7.51,40,0.0,0.0
3,double_bottom,0,0.0,4.75,40,0.0,0.0
3,head_and_shoulders,0,0.0,24.25,40,0.0,0.0
3,inv_head_and_shoulders,0,0.0,10.75,40,0.0,0.0
3,ascending_triangle,0,0.0,17.61,40,0.0,0.0
3,descending_triangle,0,0.0,15.76,40,0.0,0.0
4,double_top,0,0.0,6.38,20,0.0,0.0
4,double_bottom,0,0.0,4.34,20,0.0,0.0
4,head_and_shoulders,0,0.0,17.09,20,0.0,0.0
4,inv_head_and_shoulders,0,0.0,9.32,20,0.0,0.0
4,ascending_triangle,2,9.51,14.99,20,16.0,100.0
4,descending_triangle,0,0.0,12.75,20,0.0,0.0
5,double_top,0,0.0,6.35,20,0.0,0.0
5,double_bottom,0,0.0,4.34,21,0.0,0.0
5,head_and_shoulders,0,0.0,17.09,20,0.0,0.0
5,inv_head_and_shoulders,0,0.0,9.32,20,0.0,0.0
5,ascending_triangle,2,9.51,16.65,20,16.0,100.0
5,descending_triangle,0,0.0,12.76,21,0.0,0.0
6,double_top,0,0.0,6.7,10,0.0,0.0
6,double_bottom,0,0.0,4.57,10,0.0,0.0
6,head_and_shoulders,0,0.0,15.84,10,0.0,0.0
6,inv_head_and_shoulders,0,0.0,8.77,10,0.0,0.0
6,ascending_triangle,0,0.0,15.73,10,0.0,0.0
6,descending_triangle,1,6.94,9.36,10,22.0,100.0
7,double_top,0,0.0,6.7,10,0.0,0.0
7,double_bottom,0,0.0,4.57,10,0.0,0.0
7,head_and_shoulders,0,0.0,15.84,10,0.0,0.0
7,inv_head_and_shoulders,0,0.0,8.77,10,0.0,0.0
7,ascending_triangle,0,0.0,15.73,10,0.0,0.0
7,descending_triangle,1,6.94,9.36,10,22.0,100.0
8,double_top,0,0.0,7.35,80,0.0,0.0
8,double_bottom,0,0.0,4.87,80,0.0,0.0
8,head_and_shoulders,0,0.0,24.73,80,0.0,0.0
8,inv_head_and_shoulders,0,0.0,10.44,80,0.0,0.0
