indice,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamaño_medio,porcentaje_aceptacion_tendency
0,double_top,4,10.91,10.17,27,37.25,30.8
0,double_bottom,2,18.19,15.17,24,33.0,15.4
0,head_and_shoulders,2,18.13,17.27,26,50.0,15.4
0,inv_head_and_shoulders,1,19.5,15.85,23,50.0,7.7
0,ascending_triangle,2,13.9,15.79,26,33.0,15.4
0,descending_triangle,2,18.44,24.05,20,33.0,15.4
1,double_top,3,12.18,10.21,27,27.67,23.1
1,double_bottom,3,16.04,15.73,25,25.0,23.1
1,head_and_shoulders,1,9.72,18.14,24,100.0,7.7
1,inv_head_and_shoulders,1,17.28,15.8,25,25.0,7.7
1,ascending_triangle,3,15.62,15.87,28,27.67,23.1
1,descending_triangle,2,28.31,23.9,21,29.0,15.4
2,double_top,4,11.2,10.21,29,29.0,23.5
2,double_bottom,3,14.83,15.16,25,21.67,17.6
2,head_and_shoulders,1,9.72,18.06,28,100.0,5.9
2,inv_head_and_shoulders,2,18.17,14.94,24,22.5,11.8
2,ascending_triangle,4,15.99,16.21,28,21.25,23.5
2,descending_triangle,3,30.04,24.14,21,24.33,17.6
3,double_top,2,9.46,10.0,27,33.0,14.3
3,double_bottom,2,15.46,15.81,27,22.5,14.3
3,head_and_shoulders,1,9.72,18.01,27,100.0,7.1
3,inv_head_and_shoulders,1,17.28,15.14,27,25.0,7.1
3,ascending_triangle,5,18.85,15.9,28,20.2,35.7
3,descending_triangle,3,29.44,24.07,22,23.0,21.4
4,double_top,6,10.94,10.45,22,40.0,35.3
4,double_bottom,2,17.84,17.24,22,40.0,11.8
4,head_and_shoulders,2,20.42,19.91,23,50.0,11.8
4,inv_head_and_shoulders,2,18.45,16.23,21,40.0,11.8
4,ascending_triangle,4,21.23,17.95,22,45.0,23.5
4,descending_triangle,1,12.68,28.31,17,60.0,5.9
5,double_top,4,10.17,10.69,20,35.0,25.0
5,double_bottom,2,20.06,17.34,20,30.0,12.5
5,head_and_shoulders,3,18.53,20.55,22,33.33,18.8
5,inv_head_and_shoulders,3,19.27,16.86,23,33.33,18.8
5,ascending_triangle,3,24.75,18.02,20,36.67,18.8
5,descending_triangle,1,26.5,27.24,17,40.0,6.2
6,double_top,5,11.12,11.05,21,31.6,31.2
6,double_bottom,5,19.63,17.63,22,26.4,31.2
6,head_and_shoulders,3,15.88,19.65,23,36.67,18.8
6,inv_head_and_shoulders,1,20.22,16.21,21,24.0,6.2
6,ascending_triangle,2,20.08,18.22,21,27.0,12.5
6,descending_triangle,0,0.0,25.7,17,0.0,0.0
7,double_top,4,11.96,11.07,25,29.5,30.8
7,double_bottom,4,20.2,18.19,20,22.0,30.8
7,head_and_shoulders,2,23.69,20.17,22,35.0,15.4
7,inv_head_and_shoulders,1,20.22,16.23,21,24.0,7.7
7,ascending_triangle,1,18.99,17.38,24,20.0,7.7
7,descending_triangle,1,27.48,25.46,17,20.0,7.7
8,double_top,5,12.02,11.95,19,46.0,38.5
8,double_bottom,2,19.83,20.51,19,58.0,15.4
8,head_and_shoulders,2,26.11,20.65,20,58.0,15.4
8,inv_head_and_shoulders,2,18.67,17.09,15,58.0,15.4
8,ascending_triangle,2,17.02,17.45,17,58.0,15.4
8,descending_triangle,0,0.0,31.32,15,0.0,0.0
9,double_top,3,12.71,12.31,16,35.0,25.0
9,double_bottom,3,21.54,20.72,16,35.0,25.0
9,head_and_shoulders,2,26.11,20.78,18,58.0,16.7
9,inv_head_and_shoulders,2,17.41,16.89,17,35.0,16.7
9,ascending_triangle,1,19.7,17.47,18,46.0,8.3
9,descending_triangle,1,30.9,33.09,14,35.0,8.3
10,double_top,4,12.92,12.17,19,31.5,28.6
10,double_bottom,3,22.08,20.41,17,30.33,21.4
10,head_and_shoulders,4,24.21,19.93,19,40.25,28.6
10,inv_head_and_shoulders,1,22.05,16.98,20,28.0,7.1
10,ascending_triangle,1,20.04,17.47,19,28.0,7.1
10,descending_triangle,1,30.9,32.36,15,35.0,7.1
11,double_top,2,12.73,12.57,17,35.0,22.2
11,double_bottom,2,20.86,20.91,20,25.5,22.2
11,head_and_shoulders,2,23.47,19.96,16,49.0,22.2
11,inv_head_and_shoulders,1,22.05,16.18,19,28.0,11.1
11,ascending_triangle,1,20.04,17.6,19,28.0,11.1
11,descending_triangle,1,30.9,32.63,15,35.0,11.1
12,double_top,3,12.94,13.5,17,53.0,33.3
12,double_bottom,2,27.6,23.55,15,53.0,22.2
12,head_and_shoulders,1,26.87,23.14,14,53.0,11.1
12,inv_head_and_shoulders,0,0.0,20.12,13,0.0,0.0
12,ascending_triangle,2,15.47,19.01,15,80.0,22.2
12,descending_triangle,1,30.74,30.12,8,80.0,11.1
13,double_top,3,13.13,13.44,16,40.0,33.3
13,double_bottom,2,22.96,23.6,16,40.0,22.2
13,head_and_shoulders,1,26.87,23.16,14,53.0,11.1
13,inv_head_and_shoulders,1,19.83,19.16,14,40.0,11.1
13,ascending_triangle,2,21.13,18.48,15,60.0,22.2
13,descending_triangle,0,0.0,30.12,8,0.0,0.0
14,double_top,4,13.48,13.46,14,34.0,44.4
14,double_bottom,2,25.18,23.42,14,36.0,22.2
14,head_and_shoulders,1,26.87,23.63,13,53.0,11.1
14,inv_head_and_shoulders,0,0.0,18.55,14,0.0,0.0
14,ascending_triangle,1,19.54,18.48,14,32.0,11.1
14,descending_triangle,1,38.25,30.56,7,32.0,11.1
15,double_top,3,13.66,13.48,16,30.67,50.0
15,double_bottom,0,0.0,23.63,14,0.0,0.0
15,head_and_shoulders,1,26.87,23.62,14,53.0,16.7
15,inv_head_and_shoulders,1,23.37,18.38,16,26.0,16.7
15,ascending_triangle,0,0.0,18.49,14,0.0,0.0
15,descending_triangle,1,38.25,31.11,8,32.0,16.7
16,double_top,4,13.77,14.59,15,67.5,50.0
16,double_bottom,1,30.19,25.2,15,60.0,12.5
16,head_and_shoulders,1,27.04,24.16,12,90.0,12.5
16,inv_head_and_shoulders,1,23.66,20.21,12,60.0,12.5
16,ascending_triangle,1,15.99,19.78,13,60.0,12.5
16,descending_triangle,0,0.0,30.59,5,0.0,0.0
17,double_top,3,13.43,14.57,13,50.0,60.0
17,double_bottom,0,0.0,25.02,11,0.0,0.0
17,head_and_shoulders,1,27.04,24.16,12,90.0,20.0
17,inv_head_and_shoulders,1,20.97,20.2,11,45.0,20.0
17,ascending_triangle,0,0.0,19.59,11,0.0,0.0
17,descending_triangle,0,0.0,30.97,6,0.0,0.0
18,double_top,4,13.45,14.59,12,42.0,57.1
18,double_bottom,0,0.0,25.02,10,0.0,0.0
18,head_and_shoulders,1,27.04,24.15,12,90.0,14.3
18,inv_head_and_shoulders,1,20.97,20.2,10,45.0,14.3
18,ascending_triangle,1,14.9,19.71,11,36.0,14.3
18,descending_triangle,0,0.0,30.97,6,0.0,0.0
19,double_top,4,13.42,14.34,11,33.0,50.0
19,double_bottom,0,0.0,25.33,11,0.0,0.0
19,head_and_shoulders,2,24.42,24.15,12,60.0,25.0
19,inv_head_and_shoulders,0,0.0,20.65,13,0.0,0.0
19,ascending_triangle,2,23.06,19.71,11,33.0,25.0
19,descending_triangle,0,0.0,30.97,6,0.0,0.0
20,double_top,1,14.71,16.43,10,66.0,12.5
20,double_bottom,2,31.51,26.27,10,66.0,25.0
20,head_and_shoulders,1,27.68,22.59,10,100.0,12.5
20,inv_head_and_shoulders,1,25.29,23.14,10,66.0,12.5
20,ascending_triangle,2,16.0,22.54,10,83.0,25.0
20,descending_triangle,1,20.51,9.86,2,66.0,12.5
21,double_top,2,14.56,16.43,10,50.0,22.2
21,double_bottom,3,32.81,26.27,10,55.33,33.3
21,head_and_shoulders,1,27.68,22.59,10,50.0,11.1
21,inv_head_and_shoulders,2,26.77,23.14,10,58.0,22.2
21,ascending_triangle,1,15.35,22.54,10,66.0,11.1
21,descending_triangle,0,0.0,9.86,2,0.0,0.0
