tamano_ventana_y_division,tamano_ventana,divisiones,tipo_patron,numero_encontrados,distancia_promedio,distancia_promedio_findCommon,num_aceptados_findCommon_patron,tamano_medio,porcentaje_aceptacion_tendency
"100_[1, 2, 3]",100,"[1, 2, 3]",double_top,414,11.68,11.54,239.25,36.69,27.63
"100_[1, 2, 3]",100,"[1, 2, 3]",double_bottom,389,15.5,15.26,238.75,33.81,24.89
"100_[1, 2, 3]",100,"[1, 2, 3]",head_and_shoulders,150,20.55,20.98,236.33,47.26,10.19
"100_[1, 2, 3]",100,"[1, 2, 3]",inv_head_and_shoulders,192,14.29,14.81,240.0,39.77,13.0
"100_[1, 2, 3]",100,"[1, 2, 3]",ascending_triangle,227,17.63,19.46,218.92,37.28,14.28
"100_[1, 2, 3]",100,"[1, 2, 3]",descending_triangle,116,19.98,24.33,202.25,37.23,10.0
"100_[1, 2, 3, 4]",100,"[1, 2, 3, 4]",double_top,362,11.64,11.4,249.83,30.28,25.14
"100_[1, 2, 3, 4]",100,"[1, 2, 3, 4]",double_bottom,315,15.32,15.28,245.33,27.19,22.02
"100_[1, 2, 3, 4]",100,"[1, 2, 3, 4]",head_and_shoulders,138,18.54,20.7,249.08,48.92,9.38
"100_[1, 2, 3, 4]",100,"[1, 2, 3, 4]",inv_head_and_shoulders,182,14.39,14.84,253.5,31.2,12.72
"100_[1, 2, 3, 4]",100,"[1, 2, 3, 4]",ascending_triangle,243,18.82,19.04,225.92,31.77,15.65
"100_[1, 2, 3, 4]",100,"[1, 2, 3, 4]",descending_triangle,222,22.85,24.5,212.75,31.19,15.1
"100_[1, 2, 3, 4, 5]",100,"[1, 2, 3, 4, 5]",double_top,245,12.0,11.39,256.33,26.72,21.95
"100_[1, 2, 3, 4, 5]",100,"[1, 2, 3, 4, 5]",double_bottom,248,15.87,15.48,253.42,22.44,21.47
"100_[1, 2, 3, 4, 5]",100,"[1, 2, 3, 4, 5]",head_and_shoulders,130,19.07,20.67,255.83,47.76,10.75
"100_[1, 2, 3, 4, 5]",100,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,148,14.66,14.73,257.17,27.49,13.14
"100_[1, 2, 3, 4, 5]",100,"[1, 2, 3, 4, 5]",ascending_triangle,182,16.58,19.34,236.25,24.74,13.57
"100_[1, 2, 3, 4, 5]",100,"[1, 2, 3, 4, 5]",descending_triangle,233,24.2,24.27,214.58,26.95,19.13
"100_[1, 2, 3, 4, 5, 6]",100,"[1, 2, 3, 4, 5, 6]",double_top,221,11.44,11.44,267.08,23.92,19.42
"100_[1, 2, 3, 4, 5, 6]",100,"[1, 2, 3, 4, 5, 6]",double_bottom,179,14.92,15.52,268.75,19.56,16.44
"100_[1, 2, 3, 4, 5, 6]",100,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,133,18.71,20.7,256.42,48.23,11.48
"100_[1, 2, 3, 4, 5, 6]",100,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,95,14.28,14.74,270.83,25.74,9.2
"100_[1, 2, 3, 4, 5, 6]",100,"[1, 2, 3, 4, 5, 6]",ascending_triangle,199,16.54,19.07,238.67,24.74,17.08
"100_[1, 2, 3, 4, 5, 6]",100,"[1, 2, 3, 4, 5, 6]",descending_triangle,284,24.48,24.26,224.92,24.79,26.35
"120_[1, 2, 3]",120,"[1, 2, 3]",double_top,373,13.03,12.77,198.17,43.38,27.56
"120_[1, 2, 3]",120,"[1, 2, 3]",double_bottom,363,17.58,17.34,199.42,41.44,27.28
"120_[1, 2, 3]",120,"[1, 2, 3]",head_and_shoulders,129,22.53,22.13,192.67,50.32,10.41
"120_[1, 2, 3]",120,"[1, 2, 3]",inv_head_and_shoulders,189,16.05,16.24,199.75,46.9,14.56
"120_[1, 2, 3]",120,"[1, 2, 3]",ascending_triangle,199,17.97,19.98,177.33,39.88,13.9
"120_[1, 2, 3]",120,"[1, 2, 3]",descending_triangle,80,20.74,25.71,159.25,47.2,6.31
"120_[1, 2, 3, 4]",120,"[1, 2, 3, 4]",double_top,364,12.81,12.59,208.75,35.32,26.31
"120_[1, 2, 3, 4]",120,"[1, 2, 3, 4]",double_bottom,331,17.64,17.33,205.5,32.4,24.43
"120_[1, 2, 3, 4]",120,"[1, 2, 3, 4]",head_and_shoulders,154,21.99,22.31,205.17,41.43,11.54
"120_[1, 2, 3, 4]",120,"[1, 2, 3, 4]",inv_head_and_shoulders,202,15.97,16.18,213.83,36.94,14.93
"120_[1, 2, 3, 4]",120,"[1, 2, 3, 4]",ascending_triangle,188,20.12,19.81,187.42,35.55,13.18
"120_[1, 2, 3, 4]",120,"[1, 2, 3, 4]",descending_triangle,151,25.82,25.15,162.75,36.25,9.64
"120_[1, 2, 3, 4, 5]",120,"[1, 2, 3, 4, 5]",double_top,307,12.8,12.75,215.17,28.6,25.62
"120_[1, 2, 3, 4, 5]",120,"[1, 2, 3, 4, 5]",double_bottom,245,18.58,17.32,216.67,27.79,20.07
"120_[1, 2, 3, 4, 5]",120,"[1, 2, 3, 4, 5]",head_and_shoulders,150,22.82,22.33,215.83,38.19,14.0
"120_[1, 2, 3, 4, 5]",120,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,181,16.46,16.35,218.92,29.38,16.84
"120_[1, 2, 3, 4, 5]",120,"[1, 2, 3, 4, 5]",ascending_triangle,157,20.53,19.66,196.17,30.45,11.6
"120_[1, 2, 3, 4, 5]",120,"[1, 2, 3, 4, 5]",descending_triangle,164,24.91,24.86,169.83,27.56,11.85
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",double_top,269,12.52,12.72,222.75,26.56,24.39
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",double_bottom,217,17.69,17.39,220.08,22.39,22.54
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",head_and_shoulders,122,23.41,22.4,219.58,39.63,11.62
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",inv_head_and_shoulders,144,15.17,16.39,221.67,25.56,11.63
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",ascending_triangle,171,17.88,19.37,196.75,26.38,12.61
"120_[1, 2, 3, 4, 5, 6]",120,"[1, 2, 3, 4, 5, 6]",descending_triangle,219,27.95,24.99,172.25,26.28,17.22
"140_[1, 2, 3]",140,"[1, 2, 3]",double_top,324,14.2,14.09,170.42,49.87,27.59
"140_[1, 2, 3]",140,"[1, 2, 3]",double_bottom,350,20.79,19.52,173.58,47.78,32.98
"140_[1, 2, 3]",140,"[1, 2, 3]",head_and_shoulders,111,21.78,23.98,168.42,51.69,9.78
"140_[1, 2, 3]",140,"[1, 2, 3]",inv_head_and_shoulders,157,18.21,17.97,171.92,53.89,14.22
"140_[1, 2, 3]",140,"[1, 2, 3]",ascending_triangle,131,18.39,20.66,150.08,46.32,10.71
"140_[1, 2, 3]",140,"[1, 2, 3]",descending_triangle,53,19.98,26.58,122.25,39.64,4.74
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",double_top,335,14.61,14.03,177.75,40.43,24.39
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",double_bottom,350,19.53,19.7,178.67,36.42,30.16
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",head_and_shoulders,108,24.03,23.5,176.0,46.79,9.08
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",inv_head_and_shoulders,200,17.93,17.74,177.75,39.2,15.94
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",ascending_triangle,146,21.38,20.55,157.33,40.44,11.87
"140_[1, 2, 3, 4]",140,"[1, 2, 3, 4]",descending_triangle,111,27.26,27.4,125.0,38.13,8.57
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",double_top,297,14.06,13.94,181.92,33.27,27.68
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",double_bottom,290,19.48,19.56,185.0,30.33,24.12
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",head_and_shoulders,122,24.86,23.16,187.58,40.58,12.02
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",inv_head_and_shoulders,166,18.7,17.79,185.0,36.07,13.76
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",ascending_triangle,127,17.69,20.39,163.25,31.42,9.19
"140_[1, 2, 3, 4, 5]",140,"[1, 2, 3, 4, 5]",descending_triangle,156,29.5,26.52,130.25,31.54,13.24
"140_[1, 2, 3, 4, 5, 6]",140,"[1, 2, 3, 4, 5, 6]",double_top,314,14.02,13.86,191.17,29.29,29.19
