,0
0,0.55
1,0.577
2,0.556
3,0.551
4,0.572
5,0.619
6,0.672
7,0.699
8,0.721
9,0.687
10,0.689
11,0.728
12,0.795
13,0.842
14,0.839
15,0.839
16,0.829
17,0.854
18,0.885
19,0.904
20,0.923
21,0.928
22,0.975
23,0.99
24,1.0
25,0.967
26,0.951
27,0.945
28,0.96
29,0.971
30,0.94
31,0.882
32,0.81
33,0.787
34,0.746
35,0.684
36,0.605
37,0.52
38,0.492
39,0.465
40,0.478
41,0.476
42,0.49
43,0.512
44,0.495
45,0.466
46,0.406
47,0.381
48,0.387
49,0.36
50,0.317
51,0.237
52,0.231
53,0.266
54,0.299
55,0.303
56,0.274
57,0.289
58,0.299
59,0.332
60,0.327
61,0.297
62,0.272
63,0.284
64,0.278
65,0.235
66,0.127
67,0.06
68,0.013
69,0.0
70,0.069
71,0.136
72,0.187
73,0.164
74,0.174
75,0.205
76,0.199
77,0.128
78,0.087
79,0.132
80,0.195
81,0.171
82,0.088
83,0.035
84,0.024
85,0.082
86,0.105
87,0.125
88,0.1
89,0.101
