,0
0,0.752
1,0.79
2,0.819
3,0.819
4,0.836
5,0.856
6,0.888
7,0.882
8,0.837
9,0.762
10,0.741
11,0.712
12,0.775
13,0.81
14,0.869
15,0.928
16,0.96
17,1.0
18,0.948
19,0.892
20,0.818
21,0.782
22,0.749
23,0.741
24,0.741
25,0.753
26,0.752
27,0.717
28,0.652
29,0.586
30,0.493
31,0.429
32,0.345
33,0.333
34,0.312
35,0.322
36,0.331
37,0.402
38,0.427
39,0.422
40,0.332
41,0.267
42,0.243
43,0.264
44,0.346
45,0.359
46,0.382
47,0.373
48,0.389
49,0.355
50,0.339
51,0.338
52,0.337
53,0.297
54,0.281
55,0.308
56,0.318
57,0.301
58,0.261
59,0.264
60,0.26
61,0.248
62,0.203
63,0.188
64,0.142
65,0.164
66,0.173
67,0.247
68,0.279
69,0.289
70,0.261
71,0.207
72,0.176
73,0.165
74,0.163
75,0.133
76,0.117
77,0.121
78,0.15
79,0.149
80,0.129
81,0.105
82,0.098
83,0.062
84,0.018
85,0.004
86,0.007
87,0.007
88,0.0
89,0.04
