,0
0,0.985
1,1.0
2,0.992
3,0.969
4,0.917
5,0.952
6,0.97
7,0.992
8,0.959
9,0.944
10,0.946
11,0.94
12,0.86
13,0.784
14,0.655
15,0.6
16,0.546
17,0.55
18,0.551
19,0.518
20,0.499
21,0.554
22,0.657
23,0.744
24,0.713
25,0.653
26,0.639
27,0.65
28,0.689
29,0.656
30,0.637
31,0.597
32,0.567
33,0.529
34,0.498
35,0.481
36,0.481
37,0.463
38,0.448
39,0.437
40,0.44
41,0.443
42,0.439
43,0.431
44,0.424
45,0.404
46,0.402
47,0.394
48,0.39
49,0.376
50,0.352
51,0.353
52,0.345
53,0.362
54,0.357
55,0.367
56,0.344
57,0.348
58,0.314
59,0.311
60,0.281
61,0.277
62,0.28
63,0.302
64,0.3
65,0.304
66,0.263
67,0.255
68,0.24
69,0.236
70,0.211
71,0.177
72,0.163
73,0.175
74,0.164
75,0.124
76,0.089
77,0.063
78,0.061
79,0.045
80,0.037
81,0.033
82,0.032
83,0.024
84,0.016
85,0.014
86,0.02
87,0.009
88,0.0
89,0.011
