,0
0,0.141
1,0.145
2,0.223
3,0.304
4,0.369
5,0.336
6,0.307
7,0.256
8,0.297
9,0.313
10,0.365
11,0.34
12,0.335
13,0.316
14,0.291
15,0.199
16,0.152
17,0.09
18,0.072
19,0.038
20,0.028
21,0.051
22,0.029
23,0.009
24,0.0
25,0.014
26,0.077
27,0.181
28,0.291
29,0.386
30,0.441
31,0.494
32,0.528
33,0.551
34,0.579
35,0.626
36,0.646
37,0.676
38,0.655
39,0.623
40,0.586
41,0.548
42,0.547
43,0.513
44,0.501
45,0.471
46,0.446
47,0.491
48,0.553
49,0.657
50,0.715
51,0.766
52,0.769
53,0.733
54,0.617
55,0.54
56,0.497
57,0.561
58,0.555
59,0.539
60,0.509
61,0.535
62,0.601
63,0.685
64,0.756
65,0.785
66,0.714
67,0.672
68,0.662
69,0.719
70,0.657
71,0.696
72,0.755
73,0.923
74,0.961
75,0.987
76,0.994
77,1.0
78,0.944
79,0.823
