,0
0,1.0
1,0.926
2,0.906
3,0.873
4,0.77
5,0.709
6,0.656
7,0.652
8,0.529
9,0.52
10,0.541
11,0.389
12,0.373
13,0.48
14,0.463
15,0.455
16,0.553
17,0.639
18,0.639
19,0.566
20,0.52
21,0.324
22,0.217
23,0.107
24,0.0
25,0.07
26,0.193
27,0.184
28,0.242
29,0.385
30,0.357
31,0.512
32,0.52
33,0.652
34,0.615
35,0.631
36,0.68
37,0.627
38,0.48
39,0.623
40,0.5
41,0.287
42,0.377
43,0.553
44,0.426
45,0.484
46,0.533
47,0.582
48,0.545
49,0.578
50,0.615
51,0.713
52,0.971
53,0.943
54,0.885
55,0.947
56,0.877
57,0.84
