,0
0,0.709
1,0.675
2,0.37
3,0.517
4,0.265
5,0.353
6,0.503
7,0.277
8,0.023
9,0.0
10,0.24
11,0.318
12,0.453
13,0.449
14,0.57
15,0.462
16,0.501
17,0.538
18,0.52
19,0.68
20,0.574
21,0.595
22,0.692
23,0.603
24,0.758
25,0.715
26,0.752
27,0.816
28,0.76
29,0.661
30,0.708
31,0.741
32,0.758
33,0.809
34,0.771
35,0.718
36,0.659
37,0.618
38,0.632
39,0.671
40,0.671
41,0.676
42,0.64
43,0.626
44,0.568
45,0.534
46,0.515
47,0.55
48,0.545
49,0.606
50,0.706
51,0.718
52,0.756
53,0.774
54,0.791
55,0.876
56,0.918
57,0.918
58,0.945
59,0.945
60,0.955
61,0.95
62,0.964
63,0.928
64,1.0
