,0
0,0.452
1,0.262
2,0.262
3,0.302
4,0.143
5,0.0
6,0.222
7,0.54
8,0.532
9,0.532
10,0.452
11,0.111
12,0.492
13,0.532
14,0.183
15,0.032
16,0.111
17,0.151
18,0.167
19,0.349
20,0.54
21,0.54
22,0.468
23,0.548
24,0.619
25,0.667
26,0.556
27,0.468
28,0.468
29,0.206
30,0.365
31,0.54
32,0.698
33,0.54
34,0.421
35,0.54
36,0.167
37,0.254
38,0.603
39,0.444
40,0.325
41,0.619
42,0.619
43,0.548
44,0.77
45,0.468
46,0.532
47,0.611
48,0.54
49,0.54
50,0.54
51,0.341
52,0.698
53,0.849
54,0.619
55,0.54
56,0.46
57,0.619
58,0.659
59,0.651
60,0.532
61,0.73
62,0.778
63,0.659
64,0.619
65,0.627
66,0.69
67,0.738
68,0.754
69,1.0
70,0.937
71,0.778
