,0
0,0.54
1,0.484
2,0.493
3,0.395
4,0.263
5,0.134
6,0.188
7,0.15
8,0.185
9,0.0
10,0.014
11,0.058
12,0.035
13,0.034
14,0.079
15,0.032
16,0.052
17,0.111
18,0.198
19,0.284
20,0.202
21,0.209
22,0.246
23,0.405
24,0.298
25,0.307
26,0.307
27,0.327
28,0.292
29,0.302
30,0.388
31,0.417
32,0.409
33,0.463
34,0.51
35,0.577
36,0.73
37,0.71
38,0.78
39,0.736
40,0.681
41,0.734
42,0.69
43,0.73
44,0.592
45,0.612
46,0.498
47,0.461
48,0.452
49,0.434
50,0.496
51,0.559
52,0.476
53,0.519
54,0.49
55,0.521
56,0.298
57,0.337
58,0.383
59,0.463
60,0.507
61,0.634
62,0.675
63,0.663
64,0.606
65,0.624
66,0.705
67,0.74
68,0.745
69,0.829
70,0.944
71,0.774
72,0.759
73,0.718
74,0.698
75,0.824
76,0.742
77,0.736
78,0.841
79,0.899
80,0.693
81,0.75
82,0.757
83,0.751
84,0.838
85,0.669
86,0.669
87,0.725
88,0.693
89,0.705
90,0.8
91,1.0
92,0.867
93,0.921
94,0.915
95,0.725
96,0.69
97,0.644
98,0.614
99,0.695
100,0.708
101,0.734
102,0.797
103,0.806
104,0.89
105,0.908
106,0.959
107,0.884
108,0.768
109,0.797
110,0.843
111,0.806
112,0.824
113,0.785
