,0
0,0.766
1,0.793
2,0.823
3,0.823
4,0.761
5,0.691
6,0.612
7,0.568
8,0.537
9,0.526
10,0.531
11,0.519
12,0.529
13,0.539
14,0.598
15,0.68
16,0.759
17,0.801
18,0.818
19,0.84
20,0.885
21,0.97
22,1.0
23,0.976
24,0.89
25,0.841
26,0.872
27,0.897
28,0.901
29,0.834
30,0.784
31,0.71
32,0.687
33,0.613
34,0.647
35,0.679
36,0.754
37,0.747
38,0.711
39,0.7
40,0.711
41,0.715
42,0.677
43,0.581
44,0.518
45,0.516
46,0.562
47,0.603
48,0.583
49,0.565
50,0.552
51,0.555
52,0.523
53,0.457
54,0.337
55,0.231
56,0.094
57,0.078
58,0.066
59,0.094
60,0.09
61,0.129
62,0.19
63,0.204
64,0.158
65,0.08
66,0.027
67,0.015
68,0.006
69,0.008
70,0.0
71,0.044
72,0.104
73,0.159
74,0.192
75,0.188
76,0.223
77,0.254
78,0.297
79,0.335
