,0
0,0.864
1,0.807
2,0.738
3,0.673
4,0.701
5,0.727
6,0.798
7,0.866
8,0.952
9,0.988
10,0.998
11,0.969
12,0.951
13,0.952
14,0.95
15,0.952
16,0.932
17,0.927
18,0.911
19,0.866
20,0.842
21,0.797
22,0.757
23,0.763
24,0.853
25,1.0
26,0.99
27,0.901
28,0.695
29,0.589
30,0.438
31,0.367
32,0.337
33,0.357
34,0.385
35,0.388
36,0.474
37,0.592
38,0.652
39,0.643
40,0.604
41,0.644
42,0.685
43,0.731
44,0.74
45,0.715
46,0.656
47,0.594
48,0.504
49,0.48
50,0.428
51,0.479
52,0.508
53,0.565
54,0.564
55,0.576
56,0.578
57,0.559
58,0.513
59,0.48
60,0.48
61,0.471
62,0.475
63,0.5
64,0.531
65,0.537
66,0.477
67,0.4
68,0.325
69,0.357
70,0.432
71,0.454
72,0.34
73,0.171
74,0.014
75,0.0
76,0.021
77,0.1
78,0.102
79,0.133
80,0.14
81,0.179
82,0.198
83,0.23
84,0.258
85,0.23
86,0.203
87,0.216
88,0.276
89,0.34
