,0
0,0.657
1,0.652
2,0.634
3,0.771
4,0.873
5,1.0
6,0.958
7,0.909
8,0.81
9,0.738
10,0.704
11,0.732
12,0.738
13,0.735
14,0.694
15,0.688
16,0.673
17,0.636
18,0.504
19,0.395
20,0.314
21,0.34
22,0.327
23,0.299
24,0.275
25,0.268
26,0.288
27,0.244
28,0.249
29,0.278
30,0.332
31,0.332
32,0.384
33,0.468
34,0.535
35,0.47
36,0.416
37,0.452
38,0.483
39,0.519
40,0.496
41,0.486
42,0.41
43,0.325
44,0.27
45,0.208
46,0.236
47,0.262
48,0.353
49,0.343
50,0.325
51,0.262
52,0.226
53,0.203
54,0.265
55,0.281
56,0.291
57,0.265
58,0.252
59,0.21
60,0.143
61,0.081
62,0.044
63,0.005
64,0.0
65,0.021
66,0.034
67,0.042
68,0.057
69,0.148
70,0.257
71,0.257
72,0.223
73,0.151
74,0.161
75,0.153
76,0.153
77,0.145
78,0.122
79,0.091
80,0.068
81,0.031
82,0.029
83,0.047
84,0.088
85,0.14
86,0.151
87,0.138
88,0.104
89,0.088
