,0
9,0.357
10,0.467
11,0.556
12,0.576
13,0.625
14,0.629
15,0.615
16,0.555
17,0.547
18,0.505
19,0.455
20,0.333
21,0.298
22,0.313
23,0.328
24,0.266
25,0.229
26,0.227
27,0.25
28,0.276
29,0.31
30,0.365
31,0.434
32,0.467
33,0.435
34,0.374
35,0.332
36,0.318
37,0.265
38,0.185
39,0.203
40,0.239
41,0.339
42,0.424
43,0.442
44,0.43
45,0.348
46,0.368
47,0.38
48,0.376
49,0.302
50,0.261
51,0.21
52,0.229
53,0.234
54,0.23
55,0.145
56,0.071
57,0.049
58,0.099
59,0.095
60,0.059
61,0.06
62,0.074
63,0.095
64,0.061
65,0.042
66,0.043
67,0.067
68,0.098
69,0.105
70,0.116
71,0.105
72,0.155
73,0.166
74,0.211
75,0.19
76,0.168
77,0.143
78,0.146
79,0.153
80,0.112
81,0.06
82,0.031
83,0.027
84,0.025
85,0.0
86,0.0
87,0.033
88,0.06
89,0.071
