,0
0,0.67
1,0.714
2,0.776
3,0.841
4,0.848
5,0.827
6,0.832
7,0.868
8,0.923
9,0.946
10,0.969
11,0.975
12,0.983
13,0.979
14,0.986
15,0.958
16,0.984
17,0.976
18,1.0
19,0.959
20,0.935
21,0.915
22,0.785
23,0.661
24,0.598
25,0.609
26,0.634
27,0.521
28,0.475
29,0.495
30,0.549
31,0.573
32,0.579
33,0.624
34,0.653
35,0.603
36,0.553
37,0.51
38,0.497
39,0.467
40,0.471
41,0.383
42,0.322
43,0.258
44,0.283
45,0.329
46,0.357
47,0.436
48,0.453
49,0.55
50,0.574
51,0.598
52,0.551
53,0.49
54,0.432
55,0.359
56,0.324
57,0.341
58,0.35
59,0.377
60,0.377
61,0.442
62,0.471
63,0.496
64,0.464
65,0.466
66,0.433
67,0.419
68,0.372
69,0.331
70,0.26
71,0.23
72,0.187
73,0.148
74,0.104
75,0.143
76,0.18
77,0.224
78,0.24
79,0.237
80,0.233
81,0.23
82,0.209
83,0.138
84,0.073
85,0.084
86,0.108
87,0.086
88,0.019
89,0.0
90,0.034
91,0.104
92,0.134
93,0.148
94,0.15
95,0.156
96,0.143
97,0.141
98,0.153
99,0.165
