,0
7,0.614
8,0.476
9,0.414
10,0.411
11,0.401
12,0.446
13,0.445
14,0.453
15,0.455
16,0.454
17,0.422
18,0.383
19,0.374
20,0.391
21,0.422
22,0.44
23,0.457
24,0.456
25,0.45
26,0.425
27,0.402
28,0.362
29,0.331
30,0.257
31,0.218
32,0.207
33,0.27
34,0.31
35,0.311
36,0.278
37,0.255
38,0.244
39,0.24
40,0.244
41,0.275
42,0.32
43,0.274
44,0.21
45,0.142
46,0.185
47,0.241
48,0.271
49,0.261
50,0.251
51,0.281
52,0.324
53,0.311
54,0.259
55,0.203
56,0.193
57,0.191
58,0.17
59,0.158
60,0.154
61,0.197
62,0.246
63,0.296
64,0.313
65,0.308
66,0.295
67,0.28
68,0.245
69,0.227
70,0.205
71,0.198
72,0.206
73,0.2
74,0.217
75,0.187
76,0.197
77,0.228
78,0.273
79,0.297
80,0.281
81,0.252
82,0.227
83,0.21
84,0.198
85,0.225
86,0.227
87,0.225
88,0.202
89,0.18
90,0.184
91,0.186
92,0.198
93,0.213
94,0.165
95,0.102
96,0.006
97,0.0
98,0.015
99,0.051
100,0.053
101,0.065
102,0.073
103,0.092
104,0.125
105,0.158
106,0.157
107,0.148
108,0.131
109,0.151
