,0
0,0.97
1,0.979
2,1.0
3,0.997
4,0.977
5,0.928
6,0.899
7,0.822
8,0.816
9,0.835
10,0.816
11,0.795
12,0.758
13,0.747
14,0.629
15,0.551
16,0.561
17,0.623
18,0.663
19,0.675
20,0.687
21,0.738
22,0.739
23,0.741
24,0.701
25,0.725
26,0.702
27,0.691
28,0.676
29,0.704
30,0.743
31,0.728
32,0.679
33,0.615
34,0.562
35,0.538
36,0.483
37,0.437
38,0.404
39,0.398
40,0.398
41,0.427
42,0.441
43,0.49
44,0.517
45,0.565
46,0.585
47,0.548
48,0.496
49,0.415
50,0.386
51,0.369
52,0.341
53,0.324
54,0.321
55,0.4
56,0.437
57,0.429
58,0.356
59,0.309
60,0.258
61,0.228
62,0.213
63,0.216
64,0.269
65,0.274
66,0.273
67,0.23
68,0.249
69,0.273
70,0.317
71,0.354
72,0.413
73,0.451
74,0.448
75,0.445
76,0.423
77,0.421
78,0.423
79,0.418
80,0.361
81,0.254
82,0.136
83,0.082
84,0.066
85,0.038
86,0.011
87,0.0
88,0.04
89,0.051
90,0.079
91,0.098
92,0.127
93,0.106
94,0.077
95,0.074
96,0.077
97,0.09
98,0.102
99,0.111
100,0.108
101,0.09
102,0.053
103,0.028
104,0.033
105,0.073
106,0.155
107,0.213
108,0.265
109,0.28
