,0
8,0.593
9,0.496
10,0.459
11,0.449
12,0.492
13,0.549
14,0.571
15,0.555
16,0.534
17,0.478
18,0.452
19,0.428
20,0.441
21,0.467
22,0.477
23,0.45
24,0.422
25,0.414
26,0.457
27,0.503
28,0.51
29,0.524
30,0.513
31,0.54
32,0.533
33,0.529
34,0.516
35,0.514
36,0.532
37,0.575
38,0.575
39,0.551
40,0.499
41,0.487
42,0.514
43,0.514
44,0.537
45,0.387
46,0.264
47,0.133
48,0.143
49,0.148
50,0.168
51,0.217
52,0.274
53,0.311
54,0.285
55,0.256
56,0.229
57,0.295
58,0.353
59,0.386
60,0.391
61,0.4
62,0.432
63,0.451
64,0.46
65,0.453
66,0.461
67,0.421
68,0.413
69,0.371
70,0.333
71,0.283
72,0.235
73,0.275
74,0.338
75,0.411
76,0.429
77,0.417
78,0.338
79,0.247
80,0.165
81,0.15
82,0.152
83,0.153
84,0.167
85,0.208
86,0.232
87,0.215
88,0.183
89,0.149
90,0.153
91,0.19
92,0.211
93,0.219
94,0.221
95,0.243
96,0.236
97,0.186
98,0.147
99,0.09
100,0.032
101,0.0
102,0.008
103,0.061
104,0.086
105,0.095
106,0.061
107,0.04
108,0.039
109,0.074
