,0
0,0.115
1,0.212
2,0.192
3,0.173
4,0.462
5,0.192
6,0.269
7,0.308
8,0.154
9,0.269
10,0.115
11,0.173
12,0.135
13,0.115
14,0.231
15,0.231
16,0.096
17,0.077
18,0.173
19,0.25
20,0.25
21,0.173
22,0.192
23,0.423
24,0.365
25,0.212
26,0.269
27,0.25
28,0.519
29,0.692
30,1.0
31,0.827
32,0.865
33,0.904
34,0.904
35,0.788
36,0.577
37,0.615
38,0.577
39,0.5
40,0.423
41,0.192
42,0.173
43,0.0
44,0.077
45,0.038
46,0.058
47,0.115
48,0.365
49,0.077
50,0.173
51,0.231
52,0.212
53,0.135
54,0.135
55,0.577
56,0.231
57,0.173
58,0.212
59,0.327
60,0.077
61,0.115
62,0.058
