,0
0,0.938
1,1.0
2,0.942
3,0.891
4,0.771
5,0.729
6,0.682
7,0.794
8,0.779
9,0.802
10,0.828
11,0.717
12,0.844
13,0.824
14,0.83
15,0.637
16,0.536
17,0.327
18,0.328
19,0.463
20,0.572
21,0.569
22,0.511
23,0.401
24,0.561
25,0.574
26,0.488
27,0.636
28,0.59
29,0.632
30,0.708
31,0.684
32,0.669
33,0.691
34,0.664
35,0.464
36,0.506
37,0.36
38,0.305
39,0.276
40,0.271
41,0.057
42,0.0
43,0.139
44,0.152
45,0.297
46,0.419
47,0.395
48,0.508
49,0.648
50,0.666
51,0.704
52,0.686
53,0.568
54,0.321
55,0.307
56,0.31
57,0.441
58,0.392
59,0.587
60,0.477
61,0.512
62,0.848
63,0.886
64,0.95
65,0.905
